City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Norman Wells,CA,65.282,-126.8329,68.04,77,75,11.5,broken clouds
138,Kulhudhuffushi,MV,6.6221,73.07,81.95,76,100,13.58,overcast clouds
139,Biltine,TD,14.5333,20.9167,86.05,47,99,14.29,overcast clouds
140,Kavieng,PG,-2.5744,150.7967,81.84,76,44,10.78,scattered clouds
141,Chokurdakh,RU,70.6333,147.9167,46.54,87,100,9.24,overcast clouds
142,Eldorado,BR,-23.7869,-54.2836,57.7,72,4,6.02,clear sky
143,Qaanaaq,GL,77.484,-69.3632,42.53,68,69,5.23,broken clouds
144,Santa Maria,BR,-29.6842,-53.8069,51.1,66,20,2.3,few clouds
145,Grindavik,IS,63.8424,-22.4338,52.27,71,75,16.11,broken clouds
146,Zhezkazgan,KZ,47.8043,67.7144,75.24,39,0,16.78,clear sky
147,Batagay-Alyta,RU,67.8006,130.4114,60.93,60,26,3.33,scattered clouds
148,Nizhniy Kuranakh,RU,58.8353,125.4869,60.53,89,87,2.13,overcast clouds
149,Saldanha,ZA,-33.0117,17.9442,46.45,78,0,6.17,clear sky
150,Cherskiy,RU,68.75,161.3,56.01,65,4,14.81,clear sky
151,Beringovskiy,RU,63.05,179.3167,56.73,69,94,10.54,overcast clouds
152,Dunedin,NZ,-45.8742,170.5036,46.76,95,100,15.9,moderate rain
153,Andenes,NO,69.3143,16.1194,62.58,59,40,20.71,scattered clouds
154,Bredasdorp,ZA,-34.5322,20.0403,49.06,89,0,5.79,clear sky
155,Bijapur,IN,16.8333,75.7,68.74,92,100,21.74,overcast clouds
156,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,76.55,52,85,9.01,overcast clouds
157,Zhanaozen,KZ,43.3,52.8,87.39,21,17,12.97,few clouds
158,Lebu,CL,-37.6167,-73.65,49.87,86,97,7.38,overcast clouds
159,Chumikan,RU,54.7183,135.315,57.74,94,84,1.86,broken clouds
160,Hamada,JP,34.8833,132.0833,71.46,89,100,2.73,overcast clouds
161,Hovd,MN,48.0056,91.6419,65.73,47,100,6.51,overcast clouds
162,Tabou,CI,4.423,-7.3528,76.44,78,100,11.14,overcast clouds
163,Rodrigues Alves,BR,-7.738,-72.6509,82.6,73,53,0.2,broken clouds
164,Fort Nelson,CA,58.8053,-122.7002,65.79,37,75,3.44,broken clouds
165,Chanika,TZ,-5.4167,38.0167,59.22,98,35,2.39,scattered clouds
166,Omboue,GA,-1.5746,9.2618,70.83,89,40,5.97,scattered clouds
167,Bluff,NZ,-46.6,168.3333,44.8,92,100,21.72,light rain
168,Cidreira,BR,-30.1811,-50.2056,52.12,73,100,13.71,overcast clouds
169,San Patricio,US,28.017,-97.5169,101.17,40,12,16.82,few clouds
170,Pisco,PE,-13.7,-76.2167,64.45,72,20,11.5,few clouds
171,Cardonal,MX,20.6,-99.1333,80.42,30,100,12.88,overcast clouds
172,Atuona,PF,-9.8,-139.0333,77.81,77,46,18.28,scattered clouds
173,Katsuura,JP,35.1333,140.3,73.42,94,98,5.61,overcast clouds
174,Port-Gentil,GA,-0.7193,8.7815,73.36,88,75,9.22,broken clouds
175,Ambovombe,MG,-25.1667,46.0833,65.14,84,0,4.07,clear sky
176,Jamestown,US,42.097,-79.2353,80.53,61,20,16.11,few clouds
177,Chiredzi,ZW,-21.05,31.6667,62.65,51,26,4.03,scattered clouds
178,Harlingen,US,26.1906,-97.6961,98.69,38,20,18.41,few clouds
179,Shimoda,JP,34.6667,138.95,73.11,91,98,3.38,overcast clouds
180,Tortoli,IT,39.9256,9.6572,75.02,88,0,12.66,clear sky
181,Karratha,AU,-20.7377,116.8463,63.82,51,0,9.98,clear sky
182,Naze,JP,28.3667,129.4833,74.32,89,93,5.88,overcast clouds
183,Pinega,RU,64.7001,43.3936,71.17,61,19,4.74,few clouds
184,Talnakh,RU,69.4865,88.3972,45.21,68,98,10.65,overcast clouds
185,Ilawa,PL,53.596,19.5685,62.78,68,23,16.2,few clouds
186,Souillac,MU,-20.5167,57.5167,70.18,73,40,16.11,light rain
187,Hay River,CA,60.8156,-115.7999,78.78,31,75,14.97,broken clouds
188,Provideniya,RU,64.3833,-173.3,51.91,87,0,7.0,clear sky
189,Lorengau,PG,-2.0226,147.2712,81.5,80,99,8.5,overcast clouds
190,Codrington,AU,-38.2667,141.9667,50.31,74,39,10.76,scattered clouds
191,Saskylakh,RU,71.9167,114.0833,39.67,81,100,11.12,overcast clouds
